new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18009.4
1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,17754.2
1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,17676.2
1.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,17737.8
1.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,17662.8
1.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,17613.6
1.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,17715.8
1.0,0.0,0.0,0.0,0.0,70.0,1.0,0.0,17627.6
1.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,17622.8
1.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,17890.8
1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,17613.6
1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17960.0
1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,17686.4
1.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,17738.6
1.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,17739.0
1.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,17663.4
1.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,17713.6
1.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,17654.8
1.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,17655.8
1.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,17651.2
1.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,17720.0
1.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,17669.0
1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17959.0
1.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,17657.4
1.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,17676.6
1.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,17669.4
1.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,17692.0
1.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,17689.6
1.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,17642.6
1.0,0.0,0.0,0.0,0.0,70.0,4.0,0.0,17699.4
1.0,0.0,0.0,0.0,0.0,80.0,4.0,0.0,17774.0
1.0,0.0,0.0,0.0,0.0,90.0,4.0,0.0,17659.0
1.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,17664.8
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,17871.6
1.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,17695.8
1.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,17752.2
1.0,0.0,0.0,0.0,0.0,30.0,8.0,0.0,17798.6
1.0,0.0,0.0,0.0,0.0,40.0,8.0,0.0,17656.8
1.0,0.0,0.0,0.0,0.0,50.0,8.0,0.0,17686.8
1.0,0.0,0.0,0.0,0.0,60.0,8.0,0.0,17680.2
1.0,0.0,0.0,0.0,0.0,70.0,8.0,0.0,17694.8
1.0,0.0,0.0,0.0,0.0,80.0,8.0,0.0,17659.2
1.0,0.0,0.0,0.0,0.0,90.0,8.0,0.0,17739.8
1.0,0.0,0.0,0.0,0.0,100.0,8.0,0.0,17660.6
1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,18139.8
1.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,17705.2
1.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,17713.6
1.0,0.0,0.0,0.0,0.0,30.0,16.0,0.0,17706.2
1.0,0.0,0.0,0.0,0.0,40.0,16.0,0.0,17661.4
1.0,0.0,0.0,0.0,0.0,50.0,16.0,0.0,17799.6
1.0,0.0,0.0,0.0,0.0,60.0,16.0,0.0,17661.8
1.0,0.0,0.0,0.0,0.0,70.0,16.0,0.0,17659.0
1.0,0.0,0.0,0.0,0.0,80.0,16.0,0.0,17686.2
1.0,0.0,0.0,0.0,0.0,90.0,16.0,0.0,17664.4
1.0,0.0,0.0,0.0,0.0,100.0,16.0,0.0,17793.4
1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,17960.0
1.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,17677.6
1.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,17669.4
1.0,0.0,0.0,0.0,0.0,30.0,32.0,0.0,17717.0
1.0,0.0,0.0,0.0,0.0,40.0,32.0,0.0,17781.2
1.0,0.0,0.0,0.0,0.0,50.0,32.0,0.0,17762.0
1.0,0.0,0.0,0.0,0.0,60.0,32.0,0.0,17727.8
1.0,0.0,0.0,0.0,0.0,70.0,32.0,0.0,17728.8
1.0,0.0,0.0,0.0,0.0,80.0,32.0,0.0,17680.8
1.0,0.0,0.0,0.0,0.0,90.0,32.0,0.0,17696.6
1.0,0.0,0.0,0.0,0.0,100.0,32.0,0.0,17729.8
1.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,17904.6
1.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,17713.6
1.0,0.0,0.0,0.0,0.0,20.0,64.0,0.0,17740.2
1.0,0.0,0.0,0.0,0.0,30.0,64.0,0.0,17765.0
1.0,0.0,0.0,0.0,0.0,40.0,64.0,0.0,17676.4
1.0,0.0,0.0,0.0,0.0,50.0,64.0,0.0,17739.6
1.0,0.0,0.0,0.0,0.0,60.0,64.0,0.0,17716.2
1.0,0.0,0.0,0.0,0.0,70.0,64.0,0.0,17776.8
1.0,0.0,0.0,0.0,0.0,80.0,64.0,0.0,17685.4
1.0,0.0,0.0,0.0,0.0,90.0,64.0,0.0,17765.0
1.0,0.0,0.0,0.0,0.0,100.0,64.0,0.0,17719.2
1.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,17982.6
1.0,0.0,0.0,0.0,0.0,10.0,128.0,0.0,17690.8
1.0,0.0,0.0,0.0,0.0,20.0,128.0,0.0,17670.8
1.0,0.0,0.0,0.0,0.0,30.0,128.0,0.0,17725.8
1.0,0.0,0.0,0.0,0.0,40.0,128.0,0.0,17669.6
1.0,0.0,0.0,0.0,0.0,50.0,128.0,0.0,17724.8
1.0,0.0,0.0,0.0,0.0,60.0,128.0,0.0,17663.8
1.0,0.0,0.0,0.0,0.0,70.0,128.0,0.0,17767.4
1.0,0.0,0.0,0.0,0.0,80.0,128.0,0.0,17687.4
1.0,0.0,0.0,0.0,0.0,90.0,128.0,0.0,17735.6
1.0,0.0,0.0,0.0,0.0,100.0,128.0,0.0,17717.8
